Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,91952,2022-02-24,-0.016286588,0.0405553052,0.0415863409,21,100
Market-Adjusted Model,91959,2022-02-24,0.0356536503,0.0928937433,0.0935265788,21,100
Market-Adjusted Model,91964,2022-02-24,0.6176470588,0.6133901842,0.6755199873,21,100
Market-Adjusted Model,91966,2022-02-24,0.0681502086,0.1254167427,0.1260231371,21,100
Market-Adjusted Model,91968,2022-02-24,-0.028348256,0.0300026155,0.0295246727,21,100
Market-Adjusted Model,91975,2022-02-24,0.0241968558,0.0852886359,0.0820697843,21,100
Market-Adjusted Model,91977,2022-02-24,-0.122079631,-0.068379169,-0.064206703,21,100
Market-Adjusted Model,91978,2022-02-24,-0.111866419,-0.059152175,-0.053993491,21,100
Market-Adjusted Model,91983,2022-02-24,0.0908811195,0.1539275172,0.1487540481,21,100
Market-Adjusted Model,91989,2022-02-24,-0.031279116,0.0270729954,0.0265938123,21,100
Market-Adjusted Model,91990,2022-02-24,-0.046788245,0.0133067307,0.0110846837,21,100
Market-Adjusted Model,91991,2022-02-24,-0.018706544,0.0397000811,0.039166385,21,100
Market-Adjusted Model,91992,2022-02-24,0.013153457,0.0717170839,0.0710263855,21,100
Market-Adjusted Model,91993,2022-02-24,-0.04576284,0.0122666006,0.012110088,21,100
Market-Adjusted Model,91995,2022-02-24,-0.076103762,-0.01686785,-0.018230834,21,100
Market-Adjusted Model,91996,2022-02-24,-0.021718301,0.0362846923,0.0361546277,21,100
Market-Adjusted Model,91997,2022-02-24,0.1289147851,0.1814188299,0.1867877137,21,100
Market-Adjusted Model,91998,2022-02-24,-0.088833019,-0.031445169,-0.030960091,21,100
Market-Adjusted Model,91999,2022-02-24,-0.0251606,0.0332769292,0.0327123289,21,100
Market-Adjusted Model,92000,2022-02-24,-0.044282996,0.0148425342,0.0135899325,21,100
Market-Adjusted Model,92001,2022-02-24,0.0896127046,0.1467354863,0.1474856331,21,100
Market-Adjusted Model,92002,2022-02-24,-0.085402685,-0.026624788,-0.027529756,21,100
Market-Adjusted Model,92003,2022-02-24,0.0201829076,0.0782468724,0.0780558361,21,100
Market-Adjusted Model,92004,2022-02-24,-0.010885102,0.048466206,0.0469878268,21,100
Market-Adjusted Model,92005,2022-02-24,-0.032073544,0.0274317521,0.0257993841,21,100
Market-Adjusted Model,92007,2022-02-24,-0.037978258,0.0197723712,0.0198946707,21,100
Market-Adjusted Model,92008,2022-02-24,-0.061065842,-0.001725872,-0.003192914,21,100
Market-Adjusted Model,92011,2022-02-24,0.0019882674,0.0673157592,0.059861196,21,100
Market-Adjusted Model,92016,2022-02-24,-0.083941277,-0.029862222,-0.026068349,21,100
Market-Adjusted Model,92023,2022-02-24,-0.016119283,0.0407147447,0.0417536451,21,100
Market-Adjusted Model,92024,2022-02-24,0.0346749136,0.0912128559,0.0925478421,21,100
Market-Adjusted Model,92025,2022-02-24,-0.021690245,0.036531081,0.0361826834,21,100
Market-Adjusted Model,92026,2022-02-24,-0.003842119,0.0530889305,0.0540308094,21,100
Market-Adjusted Model,92027,2022-02-24,4.440892E-16,0.0567000598,0.0578729285,21,100
Market-Adjusted Model,92029,2022-02-24,-0.059916551,0.0004482188,-0.002043623,21,100
Market-Adjusted Model,92032,2022-02-24,0.0693200663,0.1509115437,0.1271929949,21,100
Market-Adjusted Model,92035,2022-02-24,0.2917981073,0.3282331993,0.3496710358,21,100
Market-Adjusted Model,92040,2022-02-24,0.0219538968,0.0905723757,0.0798268253,21,100
Market-Adjusted Model,92041,2022-02-24,-0.038567493,0.0209914091,0.0193054354,21,100
Market-Adjusted Model,92043,2022-02-24,-0.164546135,-0.113512333,-0.106673207,21,100
Market-Adjusted Model,92050,2022-02-24,-0.051516008,0.016911174,0.0063569206,21,100
Market-Adjusted Model,92052,2022-02-24,-0.136420668,-0.069580624,-0.07854774,21,100
Market-Adjusted Model,92056,2022-02-24,-0.172731713,-0.123477367,-0.114858785,21,100
Market-Adjusted Model,92058,2022-02-24,-0.024746499,0.033685362,0.0331264292,21,100
Market-Adjusted Model,92060,2022-02-24,0.0146341463,0.0732065956,0.0725070749,21,100
Market-Adjusted Model,92061,2022-02-24,-0.037571386,0.0205512531,0.0203015429,21,100
Market-Adjusted Model,92064,2022-02-24,0.0255675557,0.0839673605,0.0834404842,21,100
Market-Adjusted Model,92089,2022-02-24,-0.00494382,0.060847845,0.0529291083,21,100
Market-Adjusted Model,92090,2022-02-24,-0.03087886,0.0267409819,0.0269940687,21,100
Market-Adjusted Model,92091,2022-02-24,-0.054726368,0.017549887,0.0031465604,21,100
Market-Adjusted Model,92095,2022-02-24,-0.026159334,0.0428824325,0.0317135944,21,100
Market-Adjusted Model,92096,2022-02-24,0.1114373702,0.1715900002,0.1693102987,21,100
Market-Adjusted Model,92097,2022-02-24,0.1318944844,0.1982091679,0.1897674129,21,100
Market-Adjusted Model,92102,2022-02-24,-0.088135593,-0.021045592,-0.030262665,21,100
Market-Adjusted Model,92108,2022-02-24,-0.092067438,-0.021197575,-0.03419451,21,100
Market-Adjusted Model,92110,2022-02-24,-0.112833872,-0.058029457,-0.054960943,21,100
Market-Adjusted Model,92111,2022-02-24,0.0435483871,0.1092092751,0.1014213156,21,100
Market-Adjusted Model,92118,2022-02-24,0.0628742515,0.1291660136,0.12074718,21,100
Market-Adjusted Model,92120,2022-02-24,-0.097412932,-0.043472037,-0.039540004,21,100
Market-Adjusted Model,92121,2022-02-24,-0.144329993,-0.088090911,-0.086457065,21,100
Market-Adjusted Model,92123,2022-02-24,-0.039968652,0.0190092075,0.0179042765,21,100
Market-Adjusted Model,92125,2022-02-24,-0.062992126,-0.006176099,-0.005119197,21,100
Market-Adjusted Model,92130,2022-02-24,-0.075185185,-0.008151444,-0.017312257,21,100
Market-Adjusted Model,92131,2022-02-24,0.5529411765,0.5222837341,0.610814105,21,100
Market-Adjusted Model,92135,2022-02-24,0.0913682277,0.155141956,0.1492411563,21,100
Market-Adjusted Model,92136,2022-02-24,-0.072129409,-0.015366299,-0.01425648,21,100
Market-Adjusted Model,92140,2022-02-24,-0.095199015,-0.039806026,-0.037326087,21,100
Market-Adjusted Model,92141,2022-02-24,-0.084465543,-0.028119579,-0.026592615,21,100
Market-Adjusted Model,92143,2022-02-24,-0.058032987,0.0179445724,-0.000160059,21,100
Market-Adjusted Model,92152,2022-02-24,-0.049295923,0.0076504662,0.0085770056,21,100
Market-Adjusted Model,92157,2022-02-24,-0.103159176,-0.046125661,-0.045286248,21,100
Market-Adjusted Model,92170,2022-02-24,-0.009448123,0.0489431278,0.0484248055,21,100
Market-Adjusted Model,92172,2022-02-24,-0.013961606,0.0544672192,0.0439113229,21,100
Market-Adjusted Model,92173,2022-02-24,-0.077363839,-0.021783821,-0.01949091,21,100
Market-Adjusted Model,92181,2022-02-24,0.2583276683,0.2917854413,0.3162005968,21,100
Market-Adjusted Model,92187,2022-02-24,-0.08178888,-0.025476788,-0.023915951,21,100
Market-Adjusted Model,92189,2022-02-24,-0.092294484,-0.038227178,-0.034421555,21,100
Market-Adjusted Model,92203,2022-02-24,-0.097667464,-0.037680781,-0.039794536,21,100
Market-Adjusted Model,92206,2022-02-24,-0.052197802,0.0069595459,0.0056751263,21,100
Market-Adjusted Model,92213,2022-02-24,-0.09732094,-0.008547026,-0.039448012,21,100
Market-Adjusted Model,92220,2022-02-24,-0.37003385,-0.307885726,-0.312160921,21,100
Market-Adjusted Model,92221,2022-02-24,-0.11379143,-0.026640144,-0.055918501,21,100
